frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1317;13.170000;3;2.714935e+02;1.373256e+02;9.498272e+01;9.030923e-01;9.001884e-01;8.325210e-01;6.890079e-02;6.689625e-02;3.986780e-02;-7.972866e+00
1318;13.180000;3;1.254915e+02;2.454406e+02;8.320112e+01;8.902646e-01;8.884476e-01;6.912524e-01;7.615327e-02;7.491291e-02;2.706648e-02;-7.704481e+00
1319;13.190000;3;1.160938e+02;8.223399e+01;5.154689e+01;8.942757e-01;7.249423e-01;7.068734e-01;7.246745e-02;2.785439e-02;2.613740e-02;-7.763525e+00
1320;13.200000;2;1.085416e+02;7.792439e+01;0;8.772061e-01;6.047311e-01;0;5.847024e-02;1.816432e-02;0;-7.689371e+00
1321;13.210000;2;9.824357e+01;6.751931e+01;0;8.989866e-01;2.602465e-01;0;6.415647e-02;8.760569e-03;0;-7.859549e+00
1322;13.220000;3;2.790267e+02;9.368753e+01;6.624943e+01;8.874645e-01;8.754991e-01;4.956508e-01;6.552960e-02;5.923175e-02;1.462163e-02;-7.896415e+00
1323;13.230000;3;1.361005e+02;9.413284e+01;6.218223e+01;9.066169e-01;7.898549e-01;5.232170e-01;8.072537e-02;3.587228e-02;1.581093e-02;-7.725307e+00
1324;13.240000;3;1.244006e+02;8.222729e+01;5.635587e+01;9.106842e-01;6.726136e-01;5.569080e-01;6.726434e-02;1.835069e-02;1.355873e-02;-8.074640e+00
1325;13.250000;2;1.174286e+02;5.282747e+01;0;9.026155e-01;6.817969e-01;0;6.274772e-02;1.920363e-02;0;-8.192025e+00
1326;13.260000;2;1.110167e+02;5.117931e+01;0;9.175016e-01;6.350030e-01;0;6.189343e-02;1.398946e-02;0;-8.358916e+00
1327;13.270000;3;2.054003e+02;1.063952e+02;7.865617e+01;8.869444e-01;8.669164e-01;6.112001e-01;4.456262e-02;3.785632e-02;1.295796e-02;-8.436398e+00
1328;13.280000;3;1.961339e+02;1.656992e+02;9.923712e+01;9.011266e-01;8.746709e-01;8.731453e-01;4.379958e-02;3.455392e-02;3.413838e-02;-8.559184e+00
1329;13.290000;2;9.581153e+01;6.689146e+01;0;8.999550e-01;0;0;4.226037e-02;3.273151e-03;0;-8.647687e+00
1330;13.300000;2;1.474557e+02;9.188349e+01;0;8.764477e-01;8.702873e-01;0;4.173729e-02;3.975506e-02;0;-8.753546e+00
1331;13.310000;3;1.375823e+02;8.842680e+01;6.011609e+01;9.114359e-01;7.785891e-01;5.677485e-01;4.034897e-02;1.613955e-02;8.267111e-03;-9.229818e+00
1332;13.320000;3;2.463328e+02;1.254183e+02;8.313113e+01;9.095169e-01;9.071110e-01;7.965505e-01;3.608865e-02;3.515389e-02;1.605022e-02;-9.458400e+00
1333;13.330000;3;1.140270e+02;7.971323e+01;5.110329e+01;9.177676e-01;7.381598e-01;6.488445e-01;4.177243e-02;1.311887e-02;9.782127e-03;-9.496934e+00
1334;13.340000;3;1.597576e+02;3.098702e+02;1.030200e+02;8.942831e-01;8.934877e-01;8.687696e-01;2.017836e-02;2.002768e-02;1.625534e-02;-1.011036e+01
1335;13.350000;3;2.776942e+02;1.379764e+02;9.422118e+01;9.232873e-01;9.135520e-01;9.064153e-01;2.409039e-02;2.137747e-02;1.974723e-02;-1.024753e+01
1336;13.360000;3;2.433081e+02;8.468605e+01;5.498399e+01;8.151025e-01;8.095170e-01;7.020281e-01;2.123946e-02;2.061665e-02;1.317950e-02;-9.920514e+00
1337;13.370000;3;1.068788e+02;3.221360e+02;7.342278e+01;8.792053e-01;8.788860e-01;7.129025e-01;1.991993e-02;1.986741e-02;8.381199e-03;-1.018289e+01
1338;13.380000;2;1.357355e+02;9.462739e+01;0;9.301997e-01;8.800010e-01;0;1.384227e-02;8.051697e-03;0;-1.106160e+01
1339;13.390000;2;1.165502e+02;8.628604e+01;0;9.395824e-01;7.000906e-01;0;9.964615e-03;2.007400e-03;0;-1.146913e+01
1340;13.400000;1;1.002272e+02;0;0;9.187725e-01;0;0;6.999017e-03;0;0;-1.293218e+01
1341;13.410000;0;0;0;0;0;0;0;0;0;0;-1.229416e+01
1342;13.420000;1;5.458331e+01;0;0;7.649516e-01;0;0;6.707847e-03;0;0;-1.189095e+01
1343;13.430000;1;1.638098e+02;0;0;8.704184e-01;0;0;5.513826e-03;0;0;-1.281736e+01
